"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"8827";"s8827";"Caucasiano (Europeu)";20;"Sim";"Masculino";"Direita";5;"US";4;2;5;2;5;1;4;1;4;3;2;4;2;4;3;2;1;1;2;1;4;5;1;4;2;4;2;4;4;5;4;3;5;4;3;2;5;3;4;5;4;1;5;2;5;1;5;5;4;5;4,3;1,8;4,3;3,8;4,7;3,75872527251276;0,998106365838297;1,40326795020512;21;10;23;18;23
"17695";"s17695";"Caucasiano (Indiano)";37;"Não";"Masculino";"Direita";1;"IN";1;4;4;3;4;5;1;4;4;5;3;3;5;5;4;5;4;4;4;5;1;5;1;5;2;5;5;3;5;5;3;5;5;5;3;2;5;3;4;5;2;2;2;3;2;2;4;1;4;4;2,3;3,8;3,9;3,4;3;1,7315785338989;-1,36117035101521;2,60392041998485;10;18;19;15;17
"11681";"s11681";"Caucasiano (Europeu)";57;"Sim";"Masculino";"Direita";1;"US";4;2;4;1;4;1;5;4;5;4;3;2;4;1;2;2;5;4;1;2;4;4;1;3;2;4;1;4;4;4;3;1;3;1;4;1;4;1;3;3;4;4;4;3;4;1;4;4;2;4;4;3,2;4,1;4;3,6;1,85912410300384;-2,07580399374952;2,18278778028247;18;17;21;21;18
"13110";"s13110";"Oeste da África, Bosquímanos, Etíope";56;"Não";"Masculino";"Direita";2;"US";4;3;5;2;5;1;5;4;3;2;2;4;2;5;1;3;3;1;3;1;4;4;1;4;3;2;1;4;3;5;4;1;4;1;5;1;4;2;4;4;5;1;5;2;4;1;4;3;4;5;4;1,9;3,9;4,4;4,4;1,50306026132969;-0,680661207085712;2,72816055386043;17;7;22;22;22
"12743";"s12743";"Caucasiano (Europeu)";21;"Sim";"Feminino";"Direita";2;"US";1;4;4;5;2;4;1;5;1;5;5;3;5;2;2;3;3;3;4;3;5;5;1;5;1;5;2;5;5;5;5;2;5;2;3;2;4;1;4;5;5;2;5;2;4;2;5;4;4;3;1,6;3,5;4,9;4,3;4,2;2,93695016335819;-1,93303390130775;3,17243521368198;7;17;25;23;22
"7401";"s7401";"Caucasiano (Europeu)";44;"Sim";"Feminino";"Direita";1;"NZ";2;4;4;2;4;2;4;4;3;2;3;3;4;2;3;4;4;4;3;4;3;3;2;2;4;3;4;2;2;3;4;5;4;3;2;5;2;4;2;4;5;1;4;1;4;1;5;5;4;3;3,3;3,6;2,6;2,5;4,5;1,28255216276316;-0,649479493015158;2,14813112440046;15;18;15;14;23
"5356";"s5356";"Caucasiano (Indiano)";17;"Não";"Masculino";"Direita";5;"US";4;4;4;4;2;3;2;3;5;5;4;5;4;3;4;2;3;2;3;2;2;4;3;4;3;4;3;4;4;4;4;5;5;5;1;5;4;4;4;3;2;3;5;4;4;1;4;1;4;4;2,8;2,8;3,5;2,6;3,4;-0,555665813231393;-0,570072756776197;1,02212506452319;14;14;17;12;20
"2164";"s2164";"Caucasiano (Europeu)";19;"Não";"Feminino";"Ambas";1;"FR";1;5;1;5;1;5;1;5;5;1;5;2;5;5;5;1;4;4;4;4;5;1;4;1;5;1;5;1;1;1;4;1;5;5;5;1;5;2;4;5;5;4;5;4;5;1;5;5;5;5;1,8;3,7;1,5;4,3;4,4;3,73939773128243;-2,34275316272135;0,793422696869112;13;19;10;20;22
"6365";"s6365";"Caucasiano (Europeu)";38;"Sim";"Masculino";"Direita";1;"US";1;4;2;3;2;2;1;2;1;5;3;4;4;2;4;2;2;2;2;2;4;3;1;4;3;4;3;4;3;3;3;2;5;2;2;1;4;3;4;4;4;2;5;3;5;1;5;3;5;5;2,1;2,7;3,6;3,8;4,4;1,98766878957474;-3,46777639945378;1,11087311813025;12;16;19;20;23
"12857";"s12857";"Outro";27;"Sim";"Feminino";"Direita";2;"US";4;1;4;2;5;1;4;3;4;3;5;1;5;3;3;3;3;1;3;3;4;5;1;5;1;5;1;5;5;5;3;3;3;1;4;1;5;3;3;4;3;3;3;3;3;4;5;3;2;3;4,1;3,4;4,9;3,8;3;2,50212075929671;0,164044638713568;4,17830246330736;20;19;24;18;15
