"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"17608";"s17608";"Caucasiano (Europeu)";31;"Não";"Feminino";"Direita";1;"IT";4;5;5;1;5;5;5;5;3;1;2;3;3;2;1;3;3;2;2;3;2;5;4;4;5;2;5;4;5;5;3;1;4;3;4;4;3;4;1;5;4;4;5;5;3;5;5;4;5;5;3,9;2,4;4,1;3,2;4,5;3,21742472231771;-0,601640290612084;2,3816419372796;19;12;20;17;25
"16818";"s16818";"Caucasiano (Europeu)";19;"Sim";"Feminino";"Direita";2;"US";1;1;1;1;1;1;1;1;1;1;5;4;5;4;4;4;2;2;2;4;5;3;5;4;4;3;2;4;4;2;4;2;4;1;2;1;4;4;4;3;4;3;4;3;2;3;3;4;4;2;1;3,6;3,6;2,9;3,2;2,53152172129744;-1,60037435434734;1,94619525974165;5;21;19;14;17
"10069";"s10069";"Caucasiano (Europeu)";20;"Sim";"Masculino";"Direita";1;"US";1;1;2;1;2;1;2;1;1;1;5;4;5;4;5;5;4;4;5;4;1;3;3;5;4;5;2;4;4;4;5;1;4;2;1;2;4;1;5;5;4;3;5;3;5;5;5;3;4;5;1,3;4,5;3,5;3;4,2;1,68742957941437;-3,67328371352373;1,19345356925355;5;22;15;13;22
"12910";"s12910";"Raça Mista";23;"Não";"Feminino";"Direita";1;"PK";2;4;2;4;4;2;4;2;4;4;4;4;4;2;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;4;2;3,2;3,6;4;2;2,4;1,36887776089491;-2,73500783999281;1,69653920087965;16;16;20;10;12
"8043";"s8043";"Caucasiano (Europeu)";42;"Sim";"Feminino";"Esquerda";2;"US";3;3;4;4;4;4;4;2;1;2;2;3;4;3;1;2;2;2;2;3;5;5;5;5;5;4;5;4;3;4;5;5;5;5;5;5;5;5;5;4;4;5;4;5;4;4;5;5;5;4;3,1;2,4;4,5;4,9;4,5;2,7783028877816;0,234304288357449;4,92934325814836;12;14;23;24;23
"8628";"s8628";"Caucasiano (Europeu)";31;"Sim";"Masculino";"Direita";5;"GB";3;3;4;3;3;3;4;2;2;3;2;2;4;4;4;1;4;4;2;3;5;4;5;5;5;3;5;5;4;4;4;4;4;5;3;2;4;4;2;4;3;4;4;4;3;5;4;2;4;3;3;3;4,5;3,6;3,6;1,56861037860357;-2,42357454701416;4,10543045752264;13;17;23;21;21
"12610";"s12610";"Nativo Americano";52;"Sim";"Masculino";"Direita";1;"GB";2;4;5;2;4;4;4;4;2;4;1;2;4;2;2;5;2;1;2;1;4;5;4;4;4;4;4;4;4;4;4;5;5;4;4;5;4;5;4;3;2;3;2;4;4;2;5;2;4;5;3,5;2,2;4,1;4,3;3,3;1,79050754633052;-1,17579458575277;3,99558496760572;18;11;21;22;17
"914";"s914";"Caucasiano (Indiano)";32;"Não";"Masculino";"Direita";5;"(nu";3;3;3;3;3;3;3;3;3;4;2;2;3;3;2;2;2;1;2;2;2;4;4;2;3;3;3;4;4;3;3;4;4;2;4;4;4;4;2;4;3;4;4;4;3;4;3;3;3;3;3,1;2,1;3,2;3,5;3,4;2,01361292980764;-2,85354463928093;1,69317021289669;16;12;17;18;18
"6173";"s6173";"Caucasiano (Europeu)";30;"Sim";"Masculino";"Direita";1;"CA";3;5;1;2;5;5;1;1;2;4;5;4;5;5;4;4;2;2;2;4;5;4;4;5;3;5;3;3;5;4;2;2;5;3;1;2;4;3;2;4;3;1;4;4;4;4;5;3;4;4;2,9;3,7;4,1;2,8;3,6;1,38880197538562;-2,22258695763404;2,13518270343187;17;22;20;17;21
"11470";"s11470";"Caucasiano (Europeu)";25;"Sim";"Feminino";"Direita";1;"US";3;2;2;2;3;3;3;2;3;1;3;3;4;4;2;2;4;4;3;4;2;3;3;3;4;3;3;3;3;3;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;5;5;4;4;4;2,4;3,3;3;3,7;4,2;2,8190824172767;-4,49071792273774;0,429950974023964;11;17;14;18;22
